S.No.,Movie Name,Year,Crew,IMDb
1, The Shawshank Redemption,-1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.222316871
2, The Godfather,-1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.149034318
3, The Godfather: Part II,-1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.981107513
4, The Dark Knight,-2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.971782801
5, 12 Angry Men,-1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.928024077
6, Schindler's List,-1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.904891708
7, The Lord of the Rings: The Return of the King,-2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.882220468
8, Pulp Fiction,-1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.846719405
9," Il buono, il brutto, il cattivo",-1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.797780783
10, The Lord of the Rings: The Fellowship of the Ring,-2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.774592738
11, Fight Club,-1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.768636648
12, Forrest Gump,-1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.752526789
13, Inception,-2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.718793674
14, Star Wars: Episode V - The Empire Strikes Back,-1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.700322335
15, The Lord of the Rings: The Two Towers,-2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.69788195
16, The Matrix,-1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.64839623
17, Goodfellas,-1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.643503678
18, One Flew Over the Cuckoo's Nest,-1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.640311767
19, Shichinin no samurai,-1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.603535834
20, Se7en,-1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.592012458
21, La vita è bella,-1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.582833245
22, Cidade de Deus,-2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.581167912
